name,address,location,adname,type,shopinfo,lng,lat,is_chain
蜜雪冰城(上海田子坊店),泰康路272号(打浦桥地铁站1号口旁),"121.468213,31.207574",黄浦区,餐饮服务;冷饮店;冷饮店,0,121.468213,31.207574,False
安心咖啡(淮海中路店),淮海中路1251号,"121.452345,31.213824",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452345,31.213824,False
COVA(环贸iapm),淮海中路999号环贸广场1楼146室,"121.458419,31.215041",徐汇区,餐饮服务;甜品店;甜品店|餐饮服务;休闲餐饮场所;休闲餐饮场所,0,121.458419,31.215041,False
BOY CAFE(环贸iapm店),淮海中路999号上海环贸广场LG2层241-2434,"121.457874,31.215068",徐汇区,餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;糕饼店;糕饼店,0,121.457874,31.215068,False
黑+Black Plus Coffee(打浦桥店),斜土路1077号1楼,"121.467125,31.201203",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.467125,31.201203,False
勝利道SNLIDO(环贸店),南昌路509号118(陕西南路地铁站6号口步行140米),"121.459775,31.214925",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,1,121.459775,31.214925,False
肯悦咖啡瑞金店,徐家汇路618号B2层商铺号B2-F-13,"121.468450,31.207217",黄浦区,餐饮服务;咖啡厅;咖啡厅,1,121.46845,31.207217,False
麦当劳(日月光店),徐家汇路618号日月光b2层,"121.468509,31.206856",黄浦区,餐饮服务;快餐厅;麦当劳,0,121.468509,31.206856,False
星巴克沿街取餐点(茶陵北路店),斜土路1230号,"121.465039,31.198900",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,1,121.465039,31.1989,True
星巴克(茶陵北路店),茶陵北路20号A1室,"121.464982,31.198847",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,1,121.464982,31.198847,True
星巴克(瑞丽大厦店),淮海中路1325号瑞丽大厦1层103室,"121.449925,31.212375",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,1,121.449925,31.212375,True
M Stand(日月光中心泰康区店),徐家汇路618号日月光中心1F-TK03B(打浦桥地铁1号口),"121.468523,31.207386",黄浦区,餐饮服务;咖啡厅;咖啡厅,1,121.468523,31.207386,True
Tims咖啡(南昌路店),南昌路509号109-110室,"121.459663,31.215045",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459663,31.215045,True
Manner Coffee(云海大厦店),淮海中路1329号云海大厦F1层,"121.449489,31.212046",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.449489,31.212046,True
扑扑PUPUShavedIce,淮海中路1208号(常熟路地铁站3号口步行210米),"121.453257,31.214414",徐汇区,购物服务;购物相关场所;购物相关场所,1,121.453257,31.214414,False
OVERLAPS·融合法餐·Wine·Bistro·Cafe,衡山路8号6号楼102室,"121.446747,31.206748",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.446747,31.206748,False
parking coffee(盖司康公寓店),淮海中路1220号(常熟路地铁站3号口步行190米),"121.452968,31.214304",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452968,31.214304,False
Dandi餐厅,淮海中路1303号,"121.450629,31.213060",徐汇区,餐饮服务;外国餐厅;西餐厅(综合风味),0,121.450629,31.21306,False
TimsTianGoodCoffeeBagelsWarmFood,南昌路与陕西南路交叉口西南20米,"121.459825,31.215075",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459825,31.215075,True
DM CAFE (打浦桥日月光店),徐家汇路618号L1-CG03室(打浦桥地铁站出入口旁),"121.468725,31.206725",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.468725,31.206725,False
Manner Coffee(均瑶国际广场店),肇嘉浜路789号均瑶国际广场B1层(肇嘉浜路地铁站4号口旁),"121.450254,31.198749",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.450254,31.198749,True
A CALLING(永福第三小区店),淮海路西段淮海中路1260号(常熟路地铁站3号口步行90米),"121.452071,31.214001",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452071,31.214001,False
